Year,Departures_count,Passenger_Enplane,RPM,ASM,Load Factor,Cargo RTM
2025,"10,189","971,929","1,134,868,536","1,383,991,247",82.00%,"48,540"
2024,"9,998","982,710","1,129,393,431","1,354,051,350",83.40%,"49,251"
2023,"9,635","941,558","1,077,928,526","1,293,177,405",83.40%,"48,103"
2022,"9,216","852,508","947,937,434","1,141,229,527",83.10%,"51,120"
2021,"8,366","666,157","687,919,477","932,947,801",73.70%,"52,516"
2020,"6,468","369,404","378,016,195","643,203,246",58.80%,"46,429"
2019,"10,405","926,745","1,055,592,498","1,247,054,229",84.60%,"43,474"
2018,"10,171","889,023","1,011,519,934","1,208,205,948",83.70%,"43,869"
2017,"9,899","849,408","964,348,549","1,154,871,244",83.50%,"41,108"
2016,"9,879","824,038","933,476,480","1,119,025,630",83.40%,"37,016"
2015,"9,741","798,221","902,234,773","1,077,032,953",83.80%,"36,195"
2014,"9,803","762,710","862,505,910","1,034,278,265",83.40%,"35,606"
2013,"9,979","743,171","840,432,271","1,011,167,471",83.10%,"34,804"
2012,"10,127","736,701","823,181,781","994,545,695",82.80%,"36,160"
2011,"10,336","730,797","814,354,422","992,672,046",82.00%,"36,999"
2010,"10,361","720,496","798,042,877","972,601,012",82.10%,"36,516"
2009,"10,383","703,901","769,411,546","957,104,793",80.40%,"31,662"
2008,"11,144","743,313","812,377,467","1,021,330,029",79.50%,"36,812"
2007,"11,686","769,622","829,441,166","1,037,691,278",79.90%,"39,863"
2006,"11,553","744,728","797,434,432","1,006,350,726",79.20%,"39,760"
2005,"11,884","738,628","779,035,199","1,003,364,379",77.60%,"39,307"
2004,"11,766","703,692","733,993,053","971,987,060",75.50%,"37,955"
2003,"11,192","647,470","657,322,948","894,602,242",73.50%,"33,541"
2002,"9,516","614,277","642,438,958","894,582,236",71.80%,"30,526"
2001,"9,120","622,129","651,700,325","930,511,304",70.00%,"28,122"
2000,"9,450","666,149","692,757,241","956,950,287",72.40%,"30,863"
1999,"9,062","635,959","652,046,935","918,418,724",71.00%,"28,984"
1998,"8,730","612,882","617,575,274","873,388,765",70.70%,"27,867"
1997,"8,534","594,727","603,418,767","857,232,155",70.40%,"27,647"
1996,"8,618","581,237","578,663,005","835,070,900",69.30%,"24,892"
1995,"8,426","547,775","540,656,211","807,077,839",67.00%,"23,380"
1994,"7,886","528,849","519,381,688","784,330,936",66.20%,"21,773"
1993,"7,548","488,520","489,684,421","771,640,648",63.50%,"19,083"
1992,"7,321","475,105","478,553,708","752,772,435",63.60%,"17,311"
1991,"7,041","452,303","447,954,829","715,199,140",62.60%,"16,150"
1990,"7,176","465,558","457,926,286","733,374,893",62.40%,"16,407"
1989,"6,920","453,693","432,714,309","684,375,876",63.20%,"16,314"
1988,"6,962","454,613","423,301,559","676,802,328",62.50%,"14,605"
1987,"6,823","447,655","404,449,907","648,675,504",62.40%,"13,102"
1986,"6,608","418,948","366,545,855","607,435,847",60.30%,"10,954"
1985,"6,005","382,023","336,403,021","547,788,432",61.40%,"9,005"
1984,"5,600","344,680","305,115,855","515,323,339",59.20%,"9,230"
1983,"5,167","318,640","281,829,148","464,537,979",60.70%,"8,405"
1982,"5,094","294,103","259,643,870","440,119,206",59.00%,"7,720"
1981,"5,329","285,978","248,887,801","424,897,230",58.60%,"7,823"
1980,"5,479","296,901","255,192,114","432,535,103",59.00%,"7,804"
1979,"5,532","316,681","261,979,647","416,037,703",63.00%,"7,837"
1978,"5,112","274,715","226,781,182","368,750,719",61.50%,"7,325"
1977,"5,045","240,329","193,218,847","345,566,117",55.90%,"6,920"
1976,"4,921","223,320","178,988,011","322,821,526",55.40%,"6,491"
1975,"4,777","205,060","162,810,160","303,006,243",53.70%,"6,160"
1974,"4,002","207,458","162,918,594","233,880,000",69.70%,"5,125"
1973,"5,135","202,208","161,957,301","244,699,000",66.20%,"5,764"
1972,"5,046","191,349","152,406,000","226,614,000",67.30%,"5,177"
1971,"4,999","173,669","135,658,000","221,503,000",61.20%,"5,108"
1970,"5,120","169,922","131,710,000","213,160,000",61.80%,"4,984"
1969,"5,378","171,898","125,420,000","206,434,000",60.80%,"4,700"
1968,"5,348","162,181","113,958,000","166,871,000",68.30%,"4,178"
1967,"4,946","142,499","98,747,000","133,700,000",73.90%,"3,436"
1966,"4,374","118,061","79,889,000","104,669,000",76.30%,"2,911"
1965,"4,198","102,920","68,676,000","94,787,000",72.50%,"2,313"
1964,"3,955","88,520","58,494,000","80,524,000",72.60%,"1,763"
1963,"3,788","77,403","50,362,000","72,255,000",69.70%,"1,465"
1962,"3,660","67,818","43,760,000","63,888,000",68.50%,"1,318"
1961,"3,750","63,012","39,831,000","56,087,000",71.00%,"1,104"
1960,"3,853","62,257","38,863,000","52,220,000",74.40%,952
1959,"3,910","60,296","36,372,000","48,405,000",75.10%,855
1958,"3,629","53,070","31,499,000","42,724,000",73.70%,735
1957,"3,771","49,466","31,261,000","41,746,000",74.90%,710
1956,"3,503","46,005","27,625,000","35,366,000",78.10%,652
1955,"3,281","41,709","24,351,000","31,371,000",77.60%,574
1954,"3,002","35,448","20,613,000","26,922,000",76.60%,470
1953,"2,960","31,646","18,245,000","23,337,000",78.20%,444
1952,"2,737","27,567","15,624,000","19,170,000",81.50%,421
1951,"2,596","24,851","13,204,000","15,615,000",84.60%,381
1950,"2,457","19,220","10,243,000","13,125,000",78.00%,318
